generosity (cāga)		xref giving (dāna)
generosity (cāga)		xref stinginess
generosity (cāga)	as an accomplishment	AN5.46
generosity (cāga)	as an accomplishment	AN5.91
generosity (cāga)	as an accomplishment	AN8.76
generosity (cāga)	as an accomplishment	SN55.37
reputation	gained by generosity	AN3.79
generosity (cāga)	as cause for good reputation	AN3.79
generosity (cāga)	cause for rebirth	SN1.49
generosity (cāga)	cause for rebirth	AN4.55
generosity (cāga)	cause for rebirth	AN8.46
generosity (cāga)	cause for rebirth	AN8.49
generosity (cāga)	cause for rebirth	AN8.54
generosity (cāga)	cause for rebirth	MN120
generosity (cāga)	as cause for wealth	SN1.49
generosity (cāga)	as cause for wealth	AN4.61
generosity (cāga)	grounds for making merit	MN99
generosity (cāga)	with material things and with Dhamma	AN2.143
generosity (cāga)	as a quality of a good person	AN4.53
generosity (cāga)	quality of stream-enterer	SN55.6
generosity (cāga)	recollection of ones own	AN6.10
generosity (cāga)	recollection of ones own	AN6.25
generosity (cāga)	recollection of ones own	AN11.11
generosity (cāga)	recollection of ones own	AN11.13
generosity (cāga)	recollection of other's	MN68
generosity (cāga)	as a sign of faith	AN3.42
generosity (cāga)	stream of merit	SN55.32
generosity (cāga)	talk of	AN5.157
generosity (cāga)	as a type of wealth	AN5.47
generosity (cāga)	as a type of wealth	AN7.6
giving (dāna)		
giving (dāna)		SN1.41
giving (dāna)		MN35
giving (dāna)		SN41.10
giving (dāna)		xref generosity (cāga)
giving (dāna)		xref gradual instruction
giving (dāna)		xref stinginess
giving (dāna)	after giving	AN6.37
giving (dāna)	to all	Iti75
giving (dāna)	by bad person	SN1.32
giving (dāna)	by bad person	AN5.141
giving (dāna)	by bad person	AN5.147
giving (dāna)	basis of merit	AN8.36
giving (dāna)	as a blessing	Snp2.4
giving (dāna)	cause for rebirth	SN1.41
giving (dāna)	cause for rebirth	AN5.34
giving (dāna)	cause for rebirth	AN8.35
giving (dāna)	cause for rebirth	AN8.36
giving (dāna)	conditions for	AN3.41
giving (dāna)	dedication to gods	AN7.53
giving (dāna)	dedication to the dead	AN10.177
giving (dāna)	Dhamma	AN2.141
giving (dāna)	Dhamma	Iti98
giving (dāna)	Dhamma	Iti100
giving (dāna)	Dhamma	Dhp354
giving (dāna)	with equanimity	AN8.22
giving (dāna)	expecting something in return	AN7.52
giving (dāna)	expecting something in return	AN8.35
giving (dāna)	and faith	SN1.33
giving (dāna)	and faith	SN1.43
giving (dāna)	and faith	SN2.23
giving (dāna)	and faith	AN3.42
giving (dāna)	of fearlessness	AN8.39
giving (dāna)	of food	SN1.41
giving (dāna)	of food	AN4.57
giving (dāna)	of food	AN4.58
giving (dāna)	of food	AN4.59
giving (dāna)	of food	AN5.37
giving (dāna)	to gain rebirth	SN29.11–50
giving (dāna)	to gain rebirth	SN30.10–46
giving (dāna)	to gain rebirth	SN31.3–112
giving (dāna)	to gain rebirth	SN32.3–52
giving (dāna)	to get friends	SN10.12
giving (dāna)	as good use of wealth	SN1.41
giving (dāna)	as good use of wealth	AN4.61
giving (dāna)	happiness after	AN8.37
giving (dāna)	how to give	AN5.147
giving (dāna)	how to give	AN6.37
giving (dāna)	how to give	AN7.52
giving (dāna)	how to give	MN110
giving (dāna)	last bite of food	Iti26
giving (dāna)	leads to wealth	SN42.9
giving (dāna)	levels of	SN1.32
giving (dāna)	levels of	AN3.57
giving (dāna)	levels of	AN4.78
giving (dāna)	levels of	AN6.37
giving (dāna)	levels of	AN7.52
giving (dāna)	levels of	AN8.34
giving (dāna)	levels of	AN8.36
giving (dāna)	levels of	AN9.20
giving (dāna)	levels of	Iti75
giving (dāna)	material things or Dhamma	AN2.141
giving (dāna)	material things or Dhamma	Iti98
giving (dāna)	material things or Dhamma	Iti100
giving (dāna)	method of	AN8.37
giving (dāna)	moderation in	AN1.322–3
giving (dāna)	as not enough	AN5.176
giving (dāna)	parents as worthy recipients	AN7.47
giving (dāna)	personal gifts	MN142
giving (dāna)	precepts as a gift	AN8.39
giving (dāna)	preventing	AN3.57
giving (dāna)	purifying	AN4.78
giving (dāna)	purifying	MN142
giving (dāna)	qualities of giver	AN6.37
giving (dāna)	qualities of recipient	AN3.57
giving (dāna)	qualities of recipient	SN3.24
giving (dāna)	qualities of recipient	AN4.34
giving (dāna)	qualities of recipient	AN4.63
giving (dāna)	qualities of recipient	AN5.32
giving (dāna)	qualities of recipient	AN6.37
giving (dāna)	qualities of recipient	AN6.59
giving (dāna)	qualities of recipient	AN8.34
giving (dāna)	reasons for	AN8.31
giving (dāna)	reasons for	AN8.33
giving (dāna)	with regret	SN3.20
giving (dāna)	with regret	AN8.37
giving (dāna)	result directly visible	AN5.34
giving (dāna)	result of	SN1.32
giving (dāna)	result of	SN1.43
giving (dāna)	result of	SN2.23
giving (dāna)	result of	AN4.57
giving (dāna)	result of	AN4.58
giving (dāna)	result of	AN4.197
giving (dāna)	result of	AN5.31
giving (dāna)	result of	AN5.35
giving (dāna)	result of	AN5.35
giving (dāna)	result of	AN5.37
giving (dāna)	result of	AN5.44
giving (dāna)	result of	AN5.45
giving (dāna)	result of	AN5.147
giving (dāna)	result of	AN8.35
giving (dāna)	result of	AN8.36
giving (dāna)	result of	AN8.40
giving (dāna)	result of	Iti26
giving (dāna)	result of	MN135
giving (dāna)	to the sangha	AN4.34
giving (dāna)	to the sangha	AN4.60
giving (dāna)	to the sangha	AN5.32
giving (dāna)	to the sangha	AN6.59
giving (dāna)	to the sangha	AN7.53
giving (dāna)	to the sangha	AN8.34
giving (dāna)	to the sangha	AN8.59
giving (dāna)	to the sangha	AN9.20
giving (dāna)	to the sangha	SN11.16
giving (dāna)	to the sangha	MN142
giving (dāna)	simile of cloud	Iti75
giving (dāna)	simile of ocean	AN5.45
giving (dāna)	as stream of merit	AN5.45
giving (dāna)	taught by the wise	AN3.45
giving (dāna)	times for	AN5.36
giving (dāna)	times for	AN8.37
giving (dāna)	value in smallest gift	SN1.33
giving (dāna)	value in smallest gift	AN3.57
giving (dāna)	value in smallest gift	Iti26
giving (dāna)	what to give	SN1.41
giving (dāna)	what to give	AN5.44
giving (dāna)	what to give	AN5.147
giving (dāna)	what to give	AN5.147
giving (dāna)	what to give	AN8.37
giving (dāna)	whom to give to	AN2.35
giving (dāna)	whom to give to	AN3.57
giving (dāna)	whom to give to	SN3.24
giving (dāna)	whom to give to	AN4.63
giving (dāna)	whom to give to	AN5.44
giving (dāna)	whom to give to	AN5.179
giving (dāna)	whom to give to	SN7.13
giving (dāna)	whom to give to	AN8.59
giving (dāna)	whom to give to	SN11.16
giving (dāna)	whom to give to	MN56
stinginess		SN1.32
stinginess		SN1.33
stinginess		SN1.43
stinginess	giving up	AN5.255
stinginess	types	AN5.254
death (maraṇa)		SN1.20
death (maraṇa)		SN1.66
death (maraṇa)		SN1.67
death (maraṇa)		xref aging and death
death (maraṇa)		xref dependent origination
death (maraṇa)		xref old age, illness, death
death (maraṇa)	abandoning the training as	MN105
death (maraṇa)	army of	SN5.3
death (maraṇa)	army of	SN6.14
death (maraṇa)	cause of grief	SN3.22
death (maraṇa)	cause of grief	SN42.11
death (maraṇa)	cause of grief	MN87
death (maraṇa)	comes quickly	AN7.74
death (maraṇa)	comes quickly	SN20.6
death (maraṇa)	by cow	Ud1.10
death (maraṇa)	by cow	Ud5.3
death (maraṇa)	by cow	MN140
death (maraṇa)	danger of	SN1.3
death (maraṇa)	danger of	SN1.4
death (maraṇa)	danger of	SN1.4
death (maraṇa)	danger of	SN2.19
death (maraṇa)	danger of	SN2.27
death (maraṇa)	definition of	MN9
death (maraṇa)	definition of	SN12.2
death (maraṇa)	as divine messenger	MN130
death (maraṇa)	fear of	AN4.184
death (maraṇa)	fear of	Thag16.1
death (maraṇa)	fear of	SN55.27
death (maraṇa)	in four noble truths	MN141
death (maraṇa)	frequent recollection	AN5.57
death (maraṇa)	good	AN6.14
death (maraṇa)	good	AN6.15
death (maraṇa)	good	AN6.16
death (maraṇa)	good	SN55.21
death (maraṇa)	heedlessness as cause	Dhp21
